Ticker,year,month,H_value,Price
SPG,2016,8,0.0562343357613104,215.47
SPG,2016,9,0.10593689202709285,207.00999
SPG,2016,10,0.19719840346141534,185.96001
SPG,2016,11,0.11976810683175998,179.64999
SPG,2016,12,0.1389030139445302,177.67
SPG,2017,1,0.11601743826871788,183.77
SPG,2017,2,0.11958757672806647,184.39999
SPG,2017,3,0.17501508097626636,172.03
SPG,2017,4,0.05784866470797558,165.25999
SPG,2017,5,0.21128605251233762,154.25
SPG,2017,6,0.1477594692048752,161.75999
SPG,2017,7,0.15466407438476015,158.5
SPG,2017,8,0.17271019273867558,156.85001
SPG,2017,9,0.12083973445605811,161.00999
SPG,2017,10,0.10541152055379902,155.33
SPG,2017,11,0.26754418532567364,161.75
SPG,2017,12,0.08038373597634703,171.74001
SPG,2018,1,0.20382620275329782,163.37
SPG,2018,2,0.040679082524274233,153.50999
SPG,2018,3,-0.044190993645448505,154.35001
SPG,2018,4,0.06489232137155165,156.34
SPG,2018,5,0.01171119991193636,160.22
SPG,2018,6,-0.017653600483898628,170.19
SPG,2018,7,-9.800356533866208e-06,176.21001
SPG,2018,8,-0.015496142197998618,183.03
SPG,2018,9,0.006465316636568323,176.75
SPG,2018,10,0.16629918302375768,183.52
SPG,2018,11,-0.013817132806824313,185.69
SPG,2018,12,0.0072818100814398545,167.99001
SPG,2019,1,0.03600363427916696,182.12
SPG,2019,2,0.10453487854242267,181.16
SPG,2019,3,0.03557264390749282,182.21001
SPG,2019,4,0.02562386099137016,173.7
SPG,2019,5,-0.040366062113804536,162.09
SPG,2019,6,-0.03184820063071312,159.75999
SPG,2019,7,0.05220239069660271,162.2
SPG,2019,8,-0.08009435367936707,148.94
SPG,2019,9,-0.10249822040353748,155.64999
SPG,2019,10,0.004318991424212381,150.67999
SPG,2019,11,-0.0936341857285899,151.21001
SPG,2019,12,-0.035026645113287756,148.96001
SPG,2020,1,0.09492301505150438,133.14999
SPG,2020,2,0.10997052396263507,123.08
SPG,2020,3,-0.02897830033090808,54.86
SPG,2020,4,0.2119552924995067,66.77
SPG,2020,5,0.3447848500728098,57.7
SPG,2020,6,0.21160455208284235,68.38
SPG,2020,7,0.36685720181684833,62.35
SPG,2020,8,0.597181676831906,67.85
SPG,2020,9,0.4169921136852109,64.68
SPG,2020,10,0.26267623870907225,62.81
