contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM171208C00210000,IBM,2017-12-08,210.00,call,0.00,0.01,0.00,0,0.35,6,0,0,2017-11-15,0.48141,0.00199,0.00036,-0.00245,0.00233,0.00018
IBM171208P00210000,IBM,2017-12-08,210.00,put,0.00,62.77,60.50,15,65.05,1,0,0,2017-11-15,0.52195,-0.99593,0.00062,0.00161,0.00445,-0.13187
IBM171215C00080000,IBM,2017-12-15,80.00,call,0.00,67.18,65.20,7,69.15,8,0,0,2017-11-15,0.66433,0.99951,0.00006,-0.00335,0.00073,0.06563
IBM171215P00080000,IBM,2017-12-15,80.00,put,0.00,0.01,0.00,0,0.03,47,0,0,2017-11-15,0.72027,-0.00112,0.00012,-0.00188,0.00157,-0.00014
IBM171215C00085000,IBM,2017-12-15,85.00,call,0.00,62.17,60.15,7,64.20,8,0,0,2017-11-15,0.21857,1.00000,0.00000,-0.00270,0.00000,0.06980
IBM171215P00085000,IBM,2017-12-15,85.00,put,0.00,0.01,0.00,0,0.03,54,0,0,2017-11-15,0.65290,-0.00123,0.00015,-0.00186,0.00171,-0.00016
IBM171215C00090000,IBM,2017-12-15,90.00,call,30.65,57.15,55.35,6,58.95,8,0,3,2017-11-15,0.20097,1.00000,0.00000,-0.00286,0.00000,0.07390
IBM171215P00090000,IBM,2017-12-15,90.00,put,0.00,0.01,0.00,0,0.03,59,0,0,2017-11-15,0.58918,-0.00136,0.00018,-0.00184,0.00188,-0.00017
IBM171215C00095000,IBM,2017-12-15,95.00,call,0.00,52.50,51.15,6,53.85,9,0,0,2017-11-15,0.80884,0.97755,0.00157,-0.03325,0.02251,0.07504
IBM171215P00095000,IBM,2017-12-15,95.00,put,0.00,0.01,0.00,0,0.03,57,0,0,2017-11-15,0.52881,-0.00151,0.00022,-0.00182,0.00207,-0.00019
IBM171215C00100000,IBM,2017-12-15,100.00,call,0.00,47.42,45.95,7,48.90,9,0,0,2017-11-15,0.68826,0.98027,0.00165,-0.02623,0.02018,0.07954
IBM171215P00100000,IBM,2017-12-15,100.00,put,0.01,0.01,0.00,0,0.01,36,0,5104,2017-11-15,0.47119,-0.00169,0.00027,-0.00179,0.00229,-0.00021
IBM171215C00105000,IBM,2017-12-15,105.00,call,0.00,42.30,40.70,6,43.90,11,0,0,2017-11-15,0.54131,0.98797,0.00137,-0.01518,0.01320,0.08468
IBM171215P00105000,IBM,2017-12-15,105.00,put,0.01,0.01,0.00,0,0.01,47,0,1705,2017-11-15,0.41601,-0.00190,0.00034,-0.00176,0.00255,-0.00024
IBM171215C00110000,IBM,2017-12-15,110.00,call,20.72,37.73,36.60,11,38.85,11,0,0,2017-11-15,0.63277,0.95525,0.00354,-0.04524,0.03980,0.08448
IBM171215P00110000,IBM,2017-12-15,110.00,put,0.01,0.01,0.00,0,0.01,45,0,301,2017-11-15,0.36296,-0.00216,0.00044,-0.00172,0.00286,-0.00027
IBM171215C00115000,IBM,2017-12-15,115.00,call,0.00,32.58,31.15,11,34.00,11,0,0,2017-11-15,0.51418,0.95996,0.00398,-0.03462,0.03637,0.08928
IBM171215P00115000,IBM,2017-12-15,115.00,put,0.02,0.01,0.01,11,0.02,42,1,1826,2017-11-15,0.31190,-0.00249,0.00059,-0.00168,0.00326,-0.00031
IBM171215C00120000,IBM,2017-12-15,120.00,call,16.05,27.60,26.20,9,29.00,11,0,0,2017-11-15,0.44391,0.95265,0.00527,-0.03438,0.04164,0.09249
IBM171215P00120000,IBM,2017-12-15,120.00,put,0.06,0.06,0.04,13,0.07,43,5,447,2017-11-15,0.32409,-0.01228,0.00233,-0.00720,0.01344,-0.00153
IBM171215C00125000,IBM,2017-12-15,125.00,call,0.00,22.57,21.45,9,23.70,11,0,0,2017-11-15,0.36357,0.94772,0.00697,-0.03102,0.04507,0.09603
IBM171215P00125000,IBM,2017-12-15,125.00,put,0.06,0.07,0.06,13,0.09,125,25,968,2017-11-15,0.27303,-0.01654,0.00358,-0.00782,0.01737,-0.00206
IBM171215C00130000,IBM,2017-12-15,130.00,call,11.23,17.95,16.85,11,19.05,7,0,0,2017-11-15,0.35168,0.90070,0.01177,-0.04680,0.07363,0.09414
IBM171215P00130000,IBM,2017-12-15,130.00,put,0.12,0.14,0.12,8,0.15,123,1,876,2017-11-15,0.24239,-0.03386,0.00736,-0.01265,0.03171,-0.00421
IBM171215C00135000,IBM,2017-12-15,135.00,call,8.36,12.35,11.70,8,13.00,11,0,121,2017-11-15,0.17532,0.96011,0.01163,-0.01469,0.03626,0.10593
IBM171215P00135000,IBM,2017-12-15,135.00,put,0.23,0.24,0.23,13,0.26,79,26,3148,2017-11-15,0.20199,-0.06329,0.01458,-0.01733,0.05238,-0.00785
IBM171215C00140000,IBM,2017-12-15,140.00,call,8.00,8.00,7.90,10,8.10,126,27,322,2017-11-15,0.19178,0.82757,0.03157,-0.03804,0.10769,0.09348
IBM171215P00140000,IBM,2017-12-15,140.00,put,0.60,0.60,0.58,10,0.63,104,1248,2098,2017-11-15,0.17562,-0.15229,0.03180,-0.02834,0.09932,-0.01891
IBM171215C00145000,IBM,2017-12-15,145.00,call,3.80,3.97,3.90,64,4.05,79,197,400,2017-11-15,0.16205,0.63805,0.05484,-0.04555,0.15807,0.07388
IBM171215P00145000,IBM,2017-12-15,145.00,put,1.64,1.62,1.58,3,1.66,58,414,2193,2017-11-15,0.15489,-0.35663,0.05709,-0.03888,0.15726,-0.04445
IBM171215C00150000,IBM,2017-12-15,150.00,call,1.35,1.42,1.37,10,1.47,6,1944,3086,2017-11-15,0.15108,0.34198,0.05764,-0.04055,0.15487,0.04018
IBM171215P00150000,IBM,2017-12-15,150.00,put,4.05,4.08,4.00,32,4.15,15,430,3713,2017-11-15,0.14483,-0.66511,0.05964,-0.03384,0.15362,-0.08377
IBM171215C00155000,IBM,2017-12-15,155.00,call,0.41,0.42,0.40,5,0.44,15,1091,5268,2017-11-15,0.15596,0.13001,0.03217,-0.02379,0.08922,0.01537
IBM171215P00155000,IBM,2017-12-15,155.00,put,8.15,8.12,8.05,10,8.20,18,50,1599,2017-11-15,0.14986,-0.87979,0.03169,-0.01673,0.08447,-0.11304
IBM171215C00160000,IBM,2017-12-15,160.00,call,0.15,0.14,0.12,11,0.16,50,237,10178,2017-11-15,0.17120,0.04759,0.01373,-0.01215,0.04181,0.00564
IBM171215P00160000,IBM,2017-12-15,160.00,put,12.91,12.90,12.80,15,13.00,20,18,1641,2017-11-15,0.17410,-0.94951,0.01416,-0.00787,0.04383,-0.12540
IBM171215C00165000,IBM,2017-12-15,165.00,call,0.06,0.08,0.06,8,0.10,79,236,4909,2017-11-15,0.20047,0.02543,0.00701,-0.00847,0.02500,0.00301
IBM171215P00165000,IBM,2017-12-15,165.00,put,8.30,18.02,17.30,8,18.75,8,0,554,2017-11-15,0.25214,-0.93813,0.01148,-0.01667,0.05146,-0.12823
IBM171215C00170000,IBM,2017-12-15,170.00,call,0.03,0.04,0.03,2,0.06,52,49,2312,2017-11-15,0.22089,0.01261,0.00350,-0.00512,0.01375,0.00149
IBM171215P00170000,IBM,2017-12-15,170.00,put,9.90,23.43,22.10,9,24.75,8,0,0,2017-11-15,0.37196,-0.90226,0.01100,-0.04016,0.07278,-0.12834
IBM171215C00175000,IBM,2017-12-15,175.00,call,0.04,0.04,0.02,5,0.05,12,6,544,2017-11-15,0.25870,0.01096,0.00265,-0.00530,0.01218,0.00129
IBM171215P00175000,IBM,2017-12-15,175.00,put,8.18,28.38,27.05,9,29.70,8,0,0,2017-11-15,0.41876,-0.91600,0.00873,-0.04021,0.06504,-0.13407
IBM171215C00180000,IBM,2017-12-15,180.00,call,0.01,0.02,0.01,12,0.03,35,17,1423,2017-11-15,0.27196,0.00558,0.00139,-0.00307,0.00672,0.00066
IBM171215P00180000,IBM,2017-12-15,180.00,put,15.61,32.88,32.70,10,33.05,7,0,10,2017-11-15,0.35534,-0.97264,0.00421,-0.01015,0.02658,-0.14462
IBM171215C00185000,IBM,2017-12-15,185.00,call,0.01,0.01,0.00,0,0.02,13,0,362,2017-11-15,0.28385,0.00285,0.00073,-0.00176,0.00368,0.00034
IBM171215P00185000,IBM,2017-12-15,185.00,put,0.00,38.50,37.20,11,39.80,8,0,0,2017-11-15,0.53765,-0.91984,0.00657,-0.05074,0.06279,-0.14286
IBM171215C00190000,IBM,2017-12-15,190.00,call,0.00,0.01,0.00,0,0.04,5,0,0,2017-11-15,0.31327,0.00260,0.00061,-0.00178,0.00340,0.00031
IBM171215P00190000,IBM,2017-12-15,190.00,put,0.00,43.62,42.35,11,44.90,8,0,0,2017-11-15,0.60412,-0.91705,0.00600,-0.05920,0.06443,-0.14673
IBM171215C00195000,IBM,2017-12-15,195.00,call,0.00,0.01,0.00,0,0.04,16,0,0,2017-11-15,0.34162,0.00241,0.00052,-0.00181,0.00316,0.00028
IBM171215P00195000,IBM,2017-12-15,195.00,put,0.00,48.05,46.35,11,49.75,8,0,0,2017-11-15,0.53339,-0.96086,0.00376,-0.02572,0.03571,-0.15566
