PERMNO,date,TICKER,PRC
17750,2022-08-31,KMB,127.52000
17750,2022-09-30,KMB,112.54000
17750,2022-10-31,KMB,124.46000
17750,2022-11-30,KMB,135.63000
17750,2022-12-30,KMB,135.75000
17750,2023-01-31,KMB,130.00999
17750,2023-02-28,KMB,125.05000
17750,2023-03-31,KMB,134.22000
17750,2023-04-28,KMB,144.89000
17750,2023-05-31,KMB,134.28000
17750,2023-06-30,KMB,138.06000
17750,2023-07-31,KMB,129.10001
17750,2023-08-31,KMB,128.83000
17830,2010-01-29,UTX,67.48000
17830,2010-02-26,UTX,68.65000
17830,2010-03-31,UTX,73.61000
17830,2010-04-30,UTX,74.95000
17830,2010-05-28,UTX,67.38000
17830,2010-06-30,UTX,64.91000
17830,2010-07-30,UTX,71.10000
17830,2010-08-31,UTX,65.21000
17830,2010-09-30,UTX,71.23000
17830,2010-10-29,UTX,74.77000
17830,2010-11-30,UTX,75.27000
17830,2010-12-31,UTX,78.72000
17830,2011-01-31,UTX,81.30000
17830,2011-02-28,UTX,83.54000
17830,2011-03-31,UTX,84.65000
17830,2011-04-29,UTX,89.58000
17830,2011-05-31,UTX,87.77000
17830,2011-06-30,UTX,88.51000
17830,2011-07-29,UTX,82.84000
17830,2011-08-31,UTX,74.25000
17830,2011-09-30,UTX,70.36000
17830,2011-10-31,UTX,77.98000
17830,2011-11-30,UTX,76.60000
17830,2011-12-30,UTX,73.09000
17830,2012-01-31,UTX,78.35000
17830,2012-02-29,UTX,83.87000
17830,2012-03-30,UTX,82.94000
17830,2012-04-30,UTX,81.64000
17830,2012-05-31,UTX,74.11000
17830,2012-06-29,UTX,75.53000
17830,2012-07-31,UTX,74.44000
17830,2012-08-31,UTX,79.85000
17830,2012-09-28,UTX,78.29000
17830,2012-10-31,UTX,78.16000
17830,2012-11-30,UTX,80.11000
17830,2012-12-31,UTX,82.01000
17830,2013-01-31,UTX,87.57000
17830,2013-02-28,UTX,90.55000
17830,2013-03-28,UTX,93.43000
17830,2013-04-30,UTX,91.29000
17830,2013-05-31,UTX,94.90000
17830,2013-06-28,UTX,92.94000
17830,2013-07-31,UTX,105.57000
17830,2013-08-30,UTX,100.10000
17830,2013-09-30,UTX,107.82000
17830,2013-10-31,UTX,106.25000
17830,2013-11-29,UTX,110.86000
17830,2013-12-31,UTX,113.80000
17830,2014-01-31,UTX,114.02000
17830,2014-02-28,UTX,117.02000
17830,2014-03-31,UTX,116.84000
17830,2014-04-30,UTX,118.33000
17830,2014-05-30,UTX,116.22000
17830,2014-06-30,UTX,115.45000
17830,2014-07-31,UTX,105.15000
17830,2014-08-29,UTX,107.98000
17830,2014-09-30,UTX,105.60000
17830,2014-10-31,UTX,107.00000
17830,2014-11-28,UTX,110.08000
17830,2014-12-31,UTX,115.00000
17830,2015-01-30,UTX,114.78000
17830,2015-02-27,UTX,121.91000
17830,2015-03-31,UTX,117.20000
17830,2015-04-30,UTX,113.75000
17830,2015-05-29,UTX,117.17000
17830,2015-06-30,UTX,110.93000
17830,2015-07-31,UTX,100.31000
17830,2015-08-31,UTX,91.61000
17830,2015-09-30,UTX,88.99000
17830,2015-10-30,UTX,98.41000
17830,2015-11-30,UTX,96.05000
17830,2015-12-31,UTX,96.07000
17830,2016-01-29,UTX,87.69000
17830,2016-02-29,UTX,96.62000
17830,2016-03-31,UTX,100.10000
17830,2016-04-29,UTX,104.37000
17830,2016-05-31,UTX,100.58000
17830,2016-06-30,UTX,102.55000
17830,2016-07-29,UTX,107.65000
17830,2016-08-31,UTX,106.43000
17830,2016-09-30,UTX,101.60000
17830,2016-10-31,UTX,102.20000
17830,2016-11-30,UTX,107.72000
17830,2016-12-30,UTX,109.62000
17830,2017-01-31,UTX,109.67000
17830,2017-02-28,UTX,112.55000
17830,2017-03-31,UTX,112.21000
17830,2017-04-28,UTX,118.99000
17830,2017-05-31,UTX,121.28000
